FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
10020;Jl-2;CZE;;49.17;16.5;;12/30/1999 0:00;CS76956;1001G;REF;0.98247439;
10022;Uk-3;GER;Umkirch;480.333;77.667;Albert Kranz;12/30/1999 0:00;CS78777;1001G;REF;0.99034037;
10023;Strand-1;NOR;Strand;68.8;15.45;;12/30/1999 0:00;CS77284;1001G;REF;0.978662993;
10027;Uk-6;GER;Umkirch;4.802.838;7.765.567;Eunyoung Chae;05/11/2005 00:00;CS78938;1001G;REF;0.983804403;
1006;Ale-Stenar-77-31;SWE;Ales Stenar;553.833;14.05;Jon Ågren;01/01/2001 00:00;CS77636;RgMap;REF;0.991941333;
1026;VM-12;SWE;VM;55.7;14.2;Jon Ågren;01/01/2005 00:00;;RgMap;IMP;0.907375053;
104;LDV-14;FRA;LDV;485.167;-406.667;Valerie Le Corre;;;RgMap;IMP;0.960733142;
106;LDV-16;FRA;LDV;485.167;-406.667;Valerie Le Corre;;;RgMap;IMP;0.91515047;
1061;Brösarp-11-135;SWE;Brösarp;557.167;141.333;Jon Ågren;01/01/2001 00:00;CS76727;RgMap;REF;0.988125447;
1062;Brösarp-15-138;SWE;Brösarp;557.167;141.333;Jon Ågren;01/01/2001 00:00;CS76728;RgMap;REF;0.995973139;
1063;Brösarp-21-140;SWE;Brösarp;557.167;141.333;Jon Ågren;01/01/2001 00:00;CS76729;RgMap;REF;0.993084982;
